job starting
[worker: 84] [integral: 0] min_calculation: 14700000 / max_calculation: 14875000, total_calculations: 179200000
[worker: 735] [integral: 0] min_calculation: 128625000 / max_calculation: 128800000, total_calculations: 179200000
[worker: 987] [integral: 0] min_calculation: 172725000 / max_calculation: 172900000, total_calculations: 179200000
[worker: 587] [integral: 0] min_calculation: 102725000 / max_calculation: 102900000, total_calculations: 179200000
[worker: 859] [integral: 0] min_calculation: 150325000 / max_calculation: 150500000, total_calculations: 179200000
[worker: 1003] [integral: 0] min_calculation: 175525000 / max_calculation: 175700000, total_calculations: 179200000
[worker: 575] [integral: 0] min_calculation: 100625000 / max_calculation: 100800000, total_calculations: 179200000
[worker: 751] [integral: 0] min_calculation: 131425000 / max_calculation: 131600000, total_calculations: 179200000
[worker: 154] [integral: 0] min_calculation: 26950000 / max_calculation: 27125000, total_calculations: 179200000
[worker: 875] [integral: 0] min_calculation: 153125000 / max_calculation: 153300000, total_calculations: 179200000
[worker: 389] [integral: 0] min_calculation: 68075000 / max_calculation: 68250000, total_calculations: 179200000
[worker: 340] [integral: 0] min_calculation: 59500000 / max_calculation: 59675000, total_calculations: 179200000
[worker: 747] [integral: 0] min_calculation: 130725000 / max_calculation: 130900000, total_calculations: 179200000
[worker: 619] [integral: 0] min_calculation: 108325000 / max_calculation: 108500000, total_calculations: 179200000
[worker: 879] [integral: 0] min_calculation: 153825000 / max_calculation: 154000000, total_calculations: 179200000
[worker: 1007] [integral: 0] min_calculation: 176225000 / max_calculation: 176400000, total_calculations: 179200000
[worker: 28] [integral: 0] min_calculation: 4900000 / max_calculation: 5075000, total_calculations: 179200000
[worker: 133] [integral: 0] min_calculation: 23275000 / max_calculation: 23450000, total_calculations: 179200000
[worker: 907] [integral: 0] min_calculation: 158725000 / max_calculation: 158900000, total_calculations: 179200000
[worker: 3] [integral: 0] min_calculation: 525000 / max_calculation: 700000, total_calculations: 179200000
[worker: 843] [integral: 0] min_calculation: 147525000 / max_calculation: 147700000, total_calculations: 179200000
[worker: 1019] [integral: 0] min_calculation: 178325000 / max_calculation: 178500000, total_calculations: 179200000
[worker: 37] [integral: 0] min_calculation: 6475000 / max_calculation: 6650000, total_calculations: 179200000
[worker: 767] [integral: 0] min_calculation: 134225000 / max_calculation: 134400000, total_calculations: 179200000
[worker: 218] [integral: 0] min_calculation: 38150000 / max_calculation: 38325000, total_calculations: 179200000
[worker: 891] [integral: 0] min_calculation: 155925000 / max_calculation: 156100000, total_calculations: 179200000
[worker: 991] [integral: 0] min_calculation: 173425000 / max_calculation: 173600000, total_calculations: 179200000
[worker: 348] [integral: 0] min_calculation: 60900000 / max_calculation: 61075000, total_calculations: 179200000
[worker: 763] [integral: 0] min_calculation: 133525000 / max_calculation: 133700000, total_calculations: 179200000
[worker: 635] [integral: 0] min_calculation: 111125000 / max_calculation: 111300000, total_calculations: 179200000
[worker: 895] [integral: 0] min_calculation: 156625000 / max_calculation: 156800000, total_calculations: 179200000
[worker: 1023] [integral: 0] min_calculation: 179025000 / max_calculation: 179200000, total_calculations: 179200000
[worker: 92] [integral: 0] min_calculation: 16100000 / max_calculation: 16275000, total_calculations: 179200000
[worker: 655] [integral: 0] min_calculation: 114625000 / max_calculation: 114800000, total_calculations: 179200000
[worker: 971] [integral: 0] min_calculation: 169925000 / max_calculation: 170100000, total_calculations: 179200000
[worker: 11] [integral: 0] min_calculation: 1925000 / max_calculation: 2100000, total_calculations: 179200000
[worker: 779] [integral: 0] min_calculation: 136325000 / max_calculation: 136500000, total_calculations: 179200000
[worker: 416] [integral: 0] min_calculation: 72800000 / max_calculation: 72975000, total_calculations: 179200000
