job starting
[worker: 684] [integral: 0] min_calculation: 935156 / max_calculation: 936523, total_calculations: 1400000
[worker: 388] [integral: 0] min_calculation: 530468 / max_calculation: 531835, total_calculations: 1400000
[worker: 362] [integral: 0] min_calculation: 494921 / max_calculation: 496289, total_calculations: 1400000
[worker: 570] [integral: 0] min_calculation: 779296 / max_calculation: 780664, total_calculations: 1400000
[worker: 839] [integral: 0] min_calculation: 1147070 / max_calculation: 1148437, total_calculations: 1400000
[worker: 746] [integral: 0] min_calculation: 1019921 / max_calculation: 1021289, total_calculations: 1400000
[worker: 300] [integral: 0] min_calculation: 410156 / max_calculation: 411523, total_calculations: 1400000
[worker: 510] [integral: 0] min_calculation: 697265 / max_calculation: 698632, total_calculations: 1400000
[worker: 135] [integral: 0] min_calculation: 184570 / max_calculation: 185937, total_calculations: 1400000
[worker: 602] [integral: 0] min_calculation: 823046 / max_calculation: 824414, total_calculations: 1400000
[worker: 474] [integral: 0] min_calculation: 648046 / max_calculation: 649414, total_calculations: 1400000
[worker: 330] [integral: 0] min_calculation: 451171 / max_calculation: 452539, total_calculations: 1400000
[worker: 71] [integral: 0] min_calculation: 97070 / max_calculation: 98437, total_calculations: 1400000
[worker: 612] [integral: 0] min_calculation: 836718 / max_calculation: 838085, total_calculations: 1400000
[worker: 442] [integral: 0] min_calculation: 604296 / max_calculation: 605664, total_calculations: 1400000
[worker: 714] [integral: 0] min_calculation: 976171 / max_calculation: 977539, total_calculations: 1400000
[worker: 255] [integral: 0] min_calculation: 348632 / max_calculation: 350000, total_calculations: 1400000
[worker: 903] [integral: 0] min_calculation: 1234570 / max_calculation: 1235937, total_calculations: 1400000
[worker: 314] [integral: 0] min_calculation: 429296 / max_calculation: 430664, total_calculations: 1400000
[worker: 554] [integral: 0] min_calculation: 757421 / max_calculation: 758789, total_calculations: 1400000
[worker: 324] [integral: 0] min_calculation: 442968 / max_calculation: 444335, total_calculations: 1400000
[worker: 698] [integral: 0] min_calculation: 954296 / max_calculation: 955664, total_calculations: 1400000
[worker: 356] [integral: 0] min_calculation: 486718 / max_calculation: 488085, total_calculations: 1400000
[worker: 943] [integral: 0] min_calculation: 1289257 / max_calculation: 1290625, total_calculations: 1400000
[worker: 644] [integral: 0] min_calculation: 880468 / max_calculation: 881835, total_calculations: 1400000
[worker: 586] [integral: 0] min_calculation: 801171 / max_calculation: 802539, total_calculations: 1400000
[worker: 458] [integral: 0] min_calculation: 626171 / max_calculation: 627539, total_calculations: 1400000
[worker: 770] [integral: 0] min_calculation: 1052734 / max_calculation: 1054101, total_calculations: 1400000
[worker: 7] [integral: 0] min_calculation: 9570 / max_calculation: 10937, total_calculations: 1400000
[worker: 127] [integral: 0] min_calculation: 173632 / max_calculation: 175000, total_calculations: 1400000
[worker: 506] [integral: 0] min_calculation: 691796 / max_calculation: 693164, total_calculations: 1400000
[worker: 650] [integral: 0] min_calculation: 888671 / max_calculation: 890039, total_calculations: 1400000
[worker: 740] [integral: 0] min_calculation: 1011718 / max_calculation: 1013085, total_calculations: 1400000
[worker: 396] [integral: 0] min_calculation: 541406 / max_calculation: 542773, total_calculations: 1400000
[worker: 378] [integral: 0] min_calculation: 516796 / max_calculation: 518164, total_calculations: 1400000
[worker: 634] [integral: 0] min_calculation: 866796 / max_calculation: 868164, total_calculations: 1400000
[worker: 284] [integral: 0] min_calculation: 388281 / max_calculation: 389648, total_calculations: 1400000
[worker: 762] [integral: 0] min_calculation: 1041796 / max_calculation: 1043164, total_calculations: 1400000
[worker: 895] [integral: 0] min_calculation: 1223632 / max_calculation: 1225000, total_calculations: 1400000
[worker: 935] [integral: 0] min_calculation: 1278320 / max_calculation: 1279687, total_calculations: 1400000
[worker: 708] [integral: 0] min_calculation: 967968 / max_calculation: 969335, total_calculations: 1400000
[worker: 522] [integral: 0] min_calculation: 713671 / max_calculation: 715039, total_calculations: 1400000
[worker: 394] [integral: 0] min_calculation: 538671 / max_calculation: 540039, total_calculations: 1400000
[worker: 778] [integral: 0] min_calculation: 1063671 / max_calculation: 1065039, total_calculations: 1400000
[worker: 516] [integral: 0] min_calculation: 705468 / max_calculation: 706835, total_calculations: 1400000
[worker: 620] [integral: 0] min_calculation: 847656 / max_calculation: 849023, total_calculations: 1400000
[worker: 931] [integral: 0] min_calculation: 1272851 / max_calculation: 1274218, total_calculations: 1400000
[worker: 211] [integral: 0] min_calculation: 288476 / max_calculation: 289843, total_calculations: 1400000
[worker: 239] [integral: 0] min_calculation: 326757 / max_calculation: 328125, total_calculations: 1400000
[worker: 452] [integral: 0] min_calculation: 617968 / max_calculation: 619335, total_calculations: 1400000
[worker: 803] [integral: 0] min_calculation: 1097851 / max_calculation: 1099218, total_calculations: 1400000
[worker: 35] [integral: 0] min_calculation: 47851 / max_calculation: 49218, total_calculations: 1400000
[worker: 332] [integral: 0] min_calculation: 453906 / max_calculation: 455273, total_calculations: 1400000
[worker: 163] [integral: 0] min_calculation: 222851 / max_calculation: 224218, total_calculations: 1400000
[worker: 364] [integral: 0] min_calculation: 497656 / max_calculation: 499023, total_calculations: 1400000
[worker: 420] [integral: 0] min_calculation: 574218 / max_calculation: 575585, total_calculations: 1400000
[worker: 652] [integral: 0] min_calculation: 891406 / max_calculation: 892773, total_calculations: 1400000
[worker: 19] [integral: 0] min_calculation: 25976 / max_calculation: 27343, total_calculations: 1400000
[worker: 979] [integral: 0] min_calculation: 1338476 / max_calculation: 1339843, total_calculations: 1400000
[worker: 787] [integral: 0] min_calculation: 1075976 / max_calculation: 1077343, total_calculations: 1400000
[worker: 580] [integral: 0] min_calculation: 792968 / max_calculation: 794335, total_calculations: 1400000
[worker: 103] [integral: 0] min_calculation: 140820 / max_calculation: 142187, total_calculations: 1400000
[worker: 995] [integral: 0] min_calculation: 1360351 / max_calculation: 1361718, total_calculations: 1400000
